web_scraper_order,Address_raw,Rooms,Area,Rent
1763742857-1615,"Schlüsselgasse 4, 8001 Zürich",1.5,61.0,3200.0
1763742857-1616,"Stationsstrasse 6, 8003 Zürich",3.0,67.0,2765.0
1763742857-1617,"Bäulistrasse 15, 8049 Zurich",2.5,60.0,2690.0
1763742857-1618,"Riedenhaldenstrasse 268b, 8046 Zürich",2.5,62.0,2090.0
1763742860-1639,"Künzlistrasse 5, 8057 Zürich",1.5,33.0,2030.0
1763742860-1640,8005 Zürich,3.5,102.0,4060.0
1763742860-1642,8049 Zürich,2.0,,1526.0
1763742860-1643,"Hohlstrasse, 8004 Zürich",3.5,88.0,2500.0
1763742860-1644,"Schumacherweg, 8046 Zürich",3.0,,1880.0
1763742860-1645,8008 Zürich,3.5,95.0,4083.0
1763742860-1646,"Winzerhalde 28, 8049 Zürich",3.5,81.0,2290.0
1763742860-1647,"Ferdinand-Hodler-Strasse 7, 8049 Zürich",4.5,136.0,2550.0
1763742860-1648,"Strehlgasse 7, 8001 Zürich",6.5,,6000.0
1763742860-1649,"Bodmerstrasse, 8002 Zürich",3.5,130.0,3942.0
1763742860-1651,"Irchelstr. 2, 8057 Zürich",2.5,70.0,3000.0
1763742860-1652,"Uetlibergstrasse 3, 8045 Zürich",3.0,,2400.0
1763742860-1653,"Künzlistrasse 5, 8057 Zürich",1.5,33.0,2030.0
1763742860-1654,"Künzlistrasse 5, 8057 Zürich",1.5,27.0,1980.0
1763742860-1655,"Seestrasse 412, 8038 Zürich",3.5,85.0,3560.0
1763742860-1656,"Forchstrasse 315, 8008 Zürich",2.0,50.0,3200.0
1763742860-1658,"Rieterstrasse, 8002 Zürich",1.0,30.0,1700.0
1763742863-1679,"Im Glockenacker 68, 8053 Zürich",2.5,45.0,1900.0
1763742863-1680,"Erlenstrasse 25, 8048 Zürich",3.0,60.0,1975.0
1763742863-1681,"Soldanellastrasse 3, 8048 Zürich",2.5,59.0,2800.0
1763742863-1683,"Hadlaubstrasse 123, 8006 Zürich",5.5,130.0,4890.0
1763742863-1684,8052 Zürich,5.5,179.0,6590.0
1763742863-1685,"Im Tiergarten 6c, 8055 Zürich",4.0,104.0,2490.0
1763742863-1686,"Unterfeldstrasse 102, 8050 Zürich, 8050 Zürich",3.5,97.0,3750.0
1763742863-1687,"Unterfeldstrasse 102, 8050 Zürich, 8050 Zürich",1.5,55.0,2590.0
1763742863-1688,"Anna-Heer-Strasse 14, 8057 Zürich",2.5,66.0,3090.0
1763742863-1689,"Künzlistrasse 5, 8057 Zürich",2.5,43.0,2430.0
1763742863-1690,"Limmatquai 84, 8001 Zürich",2.5,94.0,5790.0
1763742863-1691,"Kornhausstrasse 11, 8037 Zürich",2.5,60.0,2490.0
1763742863-1692,"Schaffhauserstrasse 5, 8006 Zürich",5.0,121.0,4450.0
1763742863-1693,"Bombachsteig 11, 8049 Zürich",2.0,48.0,1940.0
1763742863-1694,"Engelstrasse 62 - Loft, 8004 Zürich",2.5,77.0,4090.0
1763742863-1695,"Am Oeschbrig 23, 8053 Zürich",4.0,90.0,1690.0
1763742863-1696,"Am Oeschbrig 23, 8053 Zürich",4.0,90.0,1390.0
1763742863-1697,"Am Oeschbrig 23, 8053 Zürich",4.0,100.0,1390.0
1763742863-1698,"Künzlistrasse 5, 8057 Zürich",2.5,43.0,2470.0
1763742866-1719,8057 Zürich,1.0,15.0,1090.0
1763742866-1720,"Auhofstrasse, 8051 Zürich",1.0,16.0,1290.0
1763742866-1721,"Goldauerstrasse 57, 8006 Zürich",2.0,42.0,2050.0
1763742866-1722,"Hofackerstrasse 5, 8032 Zürich",3.5,81.0,2480.0
1763742866-1723,"Roswiesenstrasse 183, 8051 Zürich",3.0,76.0,2289.0
1763742866-1724,"Turnerstrasse 2, 8006 Zürich",4.0,,
1763742866-1725,8037 Zürich,7.0,,5750.0
1763742866-1726,"Augustinergasse 36, 8001 Zürich",2.5,71.0,4450.0
1763742866-1727,"Weststrasse 175, 8003 Zürich",3.5,,3340.0
1763742866-1728,"Minervastrasse 120, 8032 Zürich",4.5,120.0,2995.0
1763742866-1729,"Wehntalerstrasse 574, 8046 Zürich",3.5,76.0,2694.0
1763742866-1730,"Hardgutstrasse 20, 8048 Zürich",4.5,89.0,3230.0
1763742866-1732,"Spiserstrasse 10, 8047 Zürich",2.5,77.0,4270.0
1763742866-1733,"Seestrasse 307, 8038 Zürich",3.0,85.0,2735.0
1763742866-1734,8048 Zürich,4.5,109.0,1200.0
1763742866-1735,"Eugen Huber-Strasse 65b, 8048 Zürich",1.0,50.0,1540.0
1763742866-1737,"Seestrasse 4, 8002 Zürich",3.0,92.0,3906.0
1763742866-1738,"Hügelstrasse 13, 8002 Zürich",2.5,,2350.0
1763742869-1759,"Kirchenfeld, 8052 Zürich",1.0,31.0,1680.0
1763742869-1760,"Schwandenholzstrasse, 8046 Zürich",1.0,16.0,1190.0
1763742869-1761,"Langfurren, 8057 Zürich",1.0,16.0,1310.0
1763742869-1762,"Hegibachstrasse, 8032 Zurich",1.0,14.0,1310.0
1763742869-1763,"Bockhornstrasse, 8047 Zürich",1.0,14.0,1190.0
1763742869-1764,"Im Hagenbrünneli, 8046 Zürich",1.0,16.0,1120.0
1763742869-1765,"Steinstrasse, 8003 Zürich",1.0,12.0,1290.0
1763742869-1766,"Birchstrasse, 8052 Zürich",1.0,11.0,1190.0
1763742869-1767,"Auhofstrasse, 8051 Zürich",1.0,14.0,1050.0
1763742869-1768,"Manessestrasse, 8045 Zurich",1.0,10.0,1290.0
1763742869-1769,"Leutschenbachstrasse 46, 8050 Zürich",2.5,,2750.0
1763742869-1770,"Russenweg 6a, 8008 Zürich",2.5,53.0,2822.0
1763742869-1771,"Naglerwiesenstrasse 42, 8049 Zürich",3.5,91.0,2205.0
1763742869-1772,"Veilchenstrasse 20, 8032 Zürich",2.0,,2150.0
1763742869-1773,"Wannerstrasse, 8045 Zürich",1.0,15.0,1290.0
1763742869-1774,"Wannerstrasse, 8045 Zürich",1.0,16.0,1290.0
1763742869-1775,"Brandschenkestrasse, 8002 Zürich",1.0,,1440.0
1763742869-1776,"Bernerstrasse Nord, 8064 Zürich",1.0,15.0,1090.0
1763742869-1777,"Stiglenstrasse, 8052 Zürich",1.0,19.0,1300.0
1763742872-1799,"Neudorfstrasse 17, 8050 Zürich",3.5,100.0,3985.0
1763742872-1800,"Neudorfstrasse 17, 8050 Zürich",1.5,64.0,2660.0
1763742872-1801,"Neudorfstrasse 11, 8050 Zürich",2.5,74.0,3010.0
1763742872-1802,"Neudorfstrasse 15, 8050 Zürich",3.5,78.0,3590.0
1763742872-1803,"Konradstrasse 21, 8005 Zürich",5.0,130.0,1588.0
1763742872-1804,"Töpferstrasse 32, 8045 Zürich",2.5,55.0,1790.0
1763742872-1805,"Birmensdorferstrasse 398, 8055 Zürich",1.0,30.0,1272.0
1763742872-1806,"Hohlstrasse 212, 8004 Zürich",5.0,180.0,7200.0
1763742872-1807,"Stampfenbrunnenstrasse 34, 8048 Zürich",2.5,55.0,1900.0
1763742872-1808,"Furttalstrasse 56, 8046 Zürich",3.5,,2990.0
1763742872-1809,8003 Zürich,2.5,50.0,2400.0
1763742872-1810,"8001, 8001 Zürich",3.5,120.0,3700.0
1763742872-1812,"Wehntalerstrasse 13, 8057 Zürich",1.5,35.0,1390.0
1763742872-1813,"Wehntalerstrasse 116, 8057 zürich",2.0,53.0,2190.0
1763742872-1814,8004 Zürich,4.5,101.0,3340.0
1763742872-1815,"Nussbaumstrasse, 8003 Zürich",2.5,83.0,3450.0
1763742872-1816,"Mainaustrasse 13, 8008 Zürich",5.0,147.0,5461.0
1763742872-1817,"Wartauweg 19, 8049 Zürich",2.5,55.0,2450.0
1763742872-1818,"Riedenhaldenstrasse 110, 8046 Zürich, 8046 Zürich",3.5,91.0,2810.0
1763742875-1839,"Lägernstrasse 22, 8037 Zürich",1.0,26.0,1500.0
1763742875-1841,8050 Zürich,2.5,68.0,3360.0
1763742875-1842,"Sustenweg 4, 8047 Zürich",2.5,52.0,2730.0
1763742875-1843,"Sustenweg 4, 8047 Zürich",2.0,46.0,2430.0
1763742875-1844,"Fuchsiastr. 13, 8048 Zürich",4.5,101.0,2110.0
1763742875-1849,"Berghaldenstr. 52a-e, 8053 Zürich",7.5,191.0,5980.0
1763742875-1850,"Manessestr. 101, 8045 Zürich",2.0,58.0,1400.0
1763742875-1851,"Hufgasse 19, 8008 Zürich",3.5,83.0,3650.0
1763742875-1852,"Luegislandstr. 56, 8051 Zürich",3.0,65.0,2010.0
1763742875-1853,"Hohlstr. 509, 8048 Zürich",4.5,113.0,3775.0
1763742875-1854,"Letzigraben 116, 8047 Zürich",1.5,49.0,2315.0
1763742875-1855,8004 Zürich,2.5,54.0,2080.0
1763742875-1856,"Hofstrasse 129, 8044 Zürich",4.5,141.0,7500.0
1763742875-1857,"Schöntalstrasse 16, 8004 Zürich",4.0,90.0,3940.0
1763742875-1858,"Pflanzschulstrasse 31, 8004 Zürich",3.0,77.0,2450.0
1763742878-1879,"Weststrasse 47, 8003 Zürich",3.5,70.0,3360.0
1763742878-1880,"Maneggplatz 4, 8041 Zürich",2.5,62.0,2460.0
1763742878-1881,"Feldeggstrasse 43, 8008 Zürich",3.5,,4350.0
1763742878-1882,"Kasernenstrasse 77 A, 8004 Zürich",3.5,106.0,3885.0
1763742878-1883,"Hambergersteig 2, 8008 Zürich",4.0,88.0,1980.0
1763742878-1884,"Engadinerweg 1, 8049 Zürich",4.0,84.0,1899.0
1763742878-1885,"Saumackerstrasse 66, 8048 Zürich",4.0,1.0,2327.0
1763742878-1886,"Leutschenbachstrasse 50/50a, 8050 Zürich",2.5,62.0,2127.0
1763742878-1887,"Feldstrasse 46, 8004 Zürich",1.5,22.0,1870.0
1763742878-1888,"Hohlstrasse 104, 8004 Zürich",2.5,43.0,2686.0
1763742878-1889,"Ottikerstrasse 38, 8006 Zürich",2.5,72.0,2775.0
1763742878-1890,"Rötelstrasse 109, 8037 Zürich",3.5,100.0,3980.0
1763742878-1891,"Werdgässchen 25, 8004 Zürich",2.0,36.0,2350.0
1763742878-1892,"Gartenstrasse, 8002 Zürich",1.5,45.0,3045.0
1763742878-1893,"Maneggplatz 4, 8041 Zürich",1.5,39.0,1680.0
1763742878-1894,"Englischviertelstrasse 22, 8032 Zürich",1.0,25.0,1097.0
1763742878-1895,"Kinkelstrasse 26, 8006 Zürich",3.0,79.0,2854.0
1763742878-1897,"Letzigraben 69, 8003 Zürich",2.0,,1823.0
1763742878-1898,"Stolzestrasse 3, 8006 Zürich",3.0,86.0,3090.0
1763742881-1919,"Zentralstrasse 53, 8003 Zürich",1.0,16.0,1320.0
1763742881-1920,"Wasserschöpfi 24, 8055 Zürich",2.5,64.0,2575.0
1763742881-1921,"Götzstrasse 21, 8006 Zürich",2.5,68.0,3285.0
1763742881-1922,"Baslerstrasse 149, 8048 Zürich",4.5,102.0,4943.0
1763742881-1923,"Winterthurerstrasse 83, 8006 Zürich",2.5,69.0,3197.0
1763742881-1924,"Winterthurerstrasse 83, 8006 Zürich",4.5,115.0,4861.0
1763742881-1925,"Seefeldstrasse 45, 8008 Zürich",2.0,50.0,2885.0
1763742881-1926,"Kernstrasse 31, 8004 Zürich",3.0,75.0,1879.0
1763742881-1927,"Mühlegasse 5, 8001 Zürich",3.5,89.0,3910.0
1763742881-1928,"Winzerstrasse 5, 8049 Zürich",2.5,90.0,3635.0
1763742881-1934,"Margrit-Rainer-Strasse 11B, 8050 Zürich",3.5,90.0,2700.0
1763742881-1935,"Olivengasse 7, 8032 Zürich",4.5,100.0,4650.0
1763742881-1936,"Olivengasse 7, 8032 Zürich",4.5,100.0,4690.0
1763742881-1937,"Olivengasse 7, 8032 Zürich",1.5,82.0,3830.0
1763742881-1938,"Limmattalstrasse 262, 8049 Zürich",3.5,91.0,3870.0
