web_scraper_order,web_scraper_start_url,rent_raw,rooms_raw,area_raw,address_raw,description_raw,text_raw,walkingtime_raw,nearest_statioon_raw;;;;;;;;;;
"1763742724-10,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 3’040.– / Monat"",""2.5 Zimmer"",""66m²"",""Sumatrastrasse 5, 8006 Zürich"",""Gemütlich Wohnen in der Nähe vom Hauptbahnhof"","""","""",""""";;;;;;;;;;
"1763742724-11,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 2’965.– / Monat"",""3.5 Zimmer"",""80m²"",""Austrasse 41, 8045 Zürich"",""🏡Spacious 3.5-Room Furnished Apartment in Zürich Altstetten (near Zürich-Binz)"","""","""",""""";;;;;;;;;;
"1763742724-12,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 4’980.– / Monat"",""3.5 Zimmer"",""97m²"",""Stampfenbachstrasse 127, 8006 Zürich"",""ERSTVERMIETUNG: Parkseitige 3.5-Zimmer-Loft nähe HB, 97 m² — Zürich 8006"",""English version belowHelle, moderne Wohnung im 2. OG (Baujahr 2025) mit Blick in den Beckenhofpark – ruhig gelegen und dennoch hervorragend angebunden.Highlights: • ca. 97 m² | 3.5 Zimmer | 2. OG mit Lift • Grosszügiger Wohn-/Essbereich mit raumhohen Fenstern • Offene V-Zug-Küche mit eleganten Holzelementen • 2 Schlafzimmer, Zugang zum privaten Balkon • 2 moderne Nasszellen (Dusche/Bad) • Eigene WM und Tumbler in der Wohnung, Einbauschränke im Entrée • Neubaustandard, bezugsbereit • Parkplatz in nahegelegenem Parkhaus verfügbar (170m) Lage: Tram Beckenhof ~2 Min., HB ~12 Min. zu Fuss, Migros Rigiplatz ~11 Min., Tagesschule Beckenhof ~3 Min. – grün &amp"; ruhig nahe Limmat, trotzdem zentral.Verfügbar: ab sofortBesichtigung: Kontaktieren Sie uns gerne für weitere Informationen oder einen BesichtigungsterminPark-Facing 3.5-Room Loft, 97 m² — Zürich 8006A bright, contemporary home on the 2nd floor of a 2025 build, looking directly onto Beckenhof Park. Perfect for professionals, couples, or a small family who want calm surroundings with city convenience.Highlights • Size: ~97 m² | Rooms: 3.5 | Floor: 2nd (lift) • Living: Large, sunlit open-plan lounge with large windows • Kitchen: Modern, open V-Zug setup with sleek wooden cabinetry • Bedrooms: 2 quiet rooms, each with large windows; access to private balcony • Bathrooms: 2 stylish, modern shower/bath • Laundry: Own washing machine and dryer in the apartment • Storage: Built-in wardrobe in entrance/corridor • Condition: Brand-new, move-in ready • Parking: Available for rent in nearby Parkhaus (170m) Location • Beckenhof tram stop: ~2 min walk • Zürich HB: ~12 min walk • Migros Rigiplatz: ~11 min walk • Tagesschule Beckenhof: ~3 min walkQuiet, green setting by the Limmat &amp;" park—yet superbly connected to the city. What you’ll love • Park views and soft natural light all day • Minimalist, high-quality finishes throughout • Balcony for morning coffee or evening wind-down • Rare mix of tranquility and centrality in 8006 Available: ImmediatelyViewings: Contact us to arrange a visit"","""",""""";;;;;;;
"1763742724-13,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 2’572.– / Monat"",""3.5 Zimmer"",""67m²"",""Eugen-Huber-Strasse 54, 8048 Zürich"",""Charmante 3.5-Zimmer-Wohnung mit Balkon in Zürich Altstetten"",""Entdecken Sie diese wunderschöne 3.5-Zimmer-Wohnung im 2. Stock an der Eugen-Huber-Strasse 54 in Zürich Altstetten. Mit 67 m² Wohnfläche bietet diese helle und ruhige Wohnung den perfekten Rückzugsort für Familien oder Paare, die Komfort und Bequemlichkeit schätzen.Die Wohnung überzeugt mit: • Küche: Weisse Schränke mit viel Stauraum, Geschirrspüler, Glaskeramikherd, grosser Kühlschrank mit separatem Gefrierfach • Sonniger Balkon: Mit schöner Aussicht ins Grüne - ideal für entspannte Stunden im Freien • Komfortable Zimmer: Helle Räume mit Parkettboden • Badezimmer: Mit weissen Wandfliesen, grünen Bodenfliesen und Badewanne • Alle Fenster sind mit elektrischen Rollläden versehen • Grosses Kellerabteil vorhanden • Parkplatz: Aussenparkplatz vorhanden Lage und Umgebung: Die Wohnung liegt in einer ruhigen und kinderfreundlichen Gegend mit sonniger Ausrichtung. Die Schule Feldblumen ist nur 6 Gehminuten entfernt, ebenso die Bushaltestelle Schulhaus Buchlern. Der Coop-Supermarkt und die Apotheke Altstetten sind in 9 Minuten zu Fuss erreichbar. Der Lindenplatz mit weiteren Einkaufsmöglichkeiten liegt ebenfalls nur 9 Gehminuten entfernt.Diese Wohnung vereint urbanes Wohnen mit ruhiger Atmosphäre und bietet durch die nahegelegene Bahnanbindung eine hervorragende Verkehrsanbindung<span id=""""acw_response_data"""" aria-hidden=""""true"""" style=""""width: 0"; height: 0; overflow: hidden; display: inline-block;" opacity: 0""""> 0214 302 166 251 032 01 13 be</span>. Perfekt für alle, die das Leben in Zürich geniessen möchten, ohne auf Ruhe und Grün verzichten zu müssen."","""",""""";;;;;;
"1763742724-14,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 2’490.– / Monat"",""2.5 Zimmer"",""60m²"",""Bombachsteig 16, 8049 Zürich"",""Attraktive Wohnung im Grünen"","""","""",""""";;;;;;;;;;
"1763742724-15,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 3’690.– / Monat"",""2.5 Zimmer"",""79m²"",""Lavaterstr. 63, 8002 Zürich"",""Erstklassige Wohnlage in Zürich-Enge!"","""","""",""""";;;;;;;;;;
"1763742724-16,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 2’990.– / Monat"",""3.5 Zimmer"",""77m²"",""Buchholzstrasse 13, 8053 Zürich"",""Erstvermietung Neubau: 3.5-Zimmerwohnung im Wohnpark Buchholzstrasse"",""Willkommen im Wohnpark Buchholzstrasse – ein einzigartiges Wohnkonzept im beliebten Stadtteil Witikon. Diese lichtdurchflutete hochwertig materialisierte 3.5-Zimmer-Wohnung vereint modernes Wohnen mit einer natürlichen Umgebung und bietet eine harmonische Verbindung von städtischem Leben und ländlicher Geborgenheit.Unter anderem bietet die Wohnung folgenden Komfort:- hochwertiger Kunststeinboden sowie heller Parkettboden aus Eiche- Fussbodenheizung- Moderne vollausgestattete Küche mit Electrolux Geräten- Eigener Waschturm (Waschmaschine/Tumbler)- 1 Nasszone (Badezimmer mit Dusche)- Réduit- Massgefertigter Einbauschrank- 1 gedeckter Balkon- Kellerabteil vorhanden-Autoeinstellplätze können für Fr. 200.00/Monat dazu gemietet werden. Es stehen auch Einstellplätze mit Elektroladestationen zur Verfügung.Der Objektstrom läuft über eine ZEV (Zusammenschluss zum Eigenverbrauch) mit einer Photovoltaikanlage und ist bereits in den Nebenkosten enthalten. So profitieren Sie von nachhaltigem und kostengünstigem Strom direkt vom Dach.Alle Annehmlichkeiten des täglichen Bedarfs sind in direkter Nähe: Supermärkte, Schulen, medizinische Versorgung und vieles mehr. Der Wohnpark hat eine gute Verbindung zum Stadtzentrum Zürich: nur 14 Minuten zum Bahnhof Stadelhofen und 20 Minuten zum Hauptbahnhof.Zusätzlich bietet die neue Überbauung eine schön gestaltete Umgebung mit Begegnungszone und einem Gemeinschaftspavillon.Weitere Informationen und Wohnungen finden Sie auf unserer Homepage: www.wohnpark-buchholzstrasse.chAchtung: Hunde sind in der Wohnüberbauung leider nicht gestattet.Bitte beachten Sie, dass es sich um Vergleichsbilder der selben Liegenschaft handelt."","""",""""";;;;;;;;;;
"1763742724-17,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 2’500.– / Monat"",""3.5 Zimmer"",""69m²"",""Körnerstrasse 10, 8004 Zürich"",""Attraktive Stadtwohnung im Kreis 4"","""","""",""""";;;;;;;;;;
"1763742724-18,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 2’520.– / Monat"",""3 Zimmer"",""82m²"",""Kienastenwiesweg 31, 8053 Zürich"",""Geräumige 3 Zimmer Wohnung an zentraler Lage"","""","""",""""";;;;;;;;;;
"1763742724-19,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 2’790.– / Monat"",""3 Zimmer"","""",""Dachslernstrasse 85, 8048 Zürich"",""Wohnen in Altstetten im 2. OG"","""","""",""""";;;;;;;;;;
